,Store Hours,Total Breweries
76,"[{""day"":""Monday - Thursday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 AM - 1:00 AM""},{""day"":""Sunday"",""hour"":""10:00 AM - 12:00 AM""},{""day"":""Sun"",""hour"":""10:00 AM - Midnight""},{""day"":""Mon - Thu"",""hour"":""11:00 AM - Midnight""},{""day"":""Fri"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Saturday"",""hour"":""10:00 am - 1:00 am""},{""day"":""Sat"",""hour"":""10:00 AM - 1:00 AM""}]",2
77,"[{""day"":""Monday - Friday"",""hour"":""7:00 am - 5:00 pm""}]",2
78,"[{""day"":""Sun"",""hour"":""11:00 AM - 9:00 PM""},{""day"":""Mon - Sat"",""hour"":""11:00 AM - 10:00 PM""}]",2
79,"[{""day"":""Mon - Sun"",""hour"":""11:00 am - 11:00 pm""}]",2
80,"[{""day"":""Monday - Thursday, Sunday"",""hour"":""11:00 AM - 12:00 AM""},{""day"":""Friday - Saturday"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Fri - Sat"",""hour"":""11:00 AM - 1:00 AM""},{""day"":""Mon - Thu, Sun"",""hour"":""11:00 AM - Midnight""},{""day"":""Sun - Thu"",""hour"":""11:00 am - 12:00 am""},{""day"":""Fri - Sat"",""hour"":""11:00 am - 1:00 am""}]",2
81,"[{""day"":""Sun"",""hour"":""Noon - 8:00 PM""},{""day"":""Mon - Thu"",""hour"":""Noon - 10:00 PM""},{""day"":""Fri - Sat"",""hour"":""Noon - Midnight""}]",2
82,"[{""day"":""Monday - Sunday"",""hour"":""2:00 PM - 2:00 AM""},{""day"":""Mon - Sun"",""hour"":""2:00 PM - 2:00 AM""}]",2
83,"[{""day"":""Tuesday - Sunday"",""hour"":""12:00 PM - 8:00 PM""},{""day"":""Tue - Sun"",""hour"":""Noon - 8:00 PM""}]",2
84,"[{""day"":""Monday - Sunday"",""hour"":""1:00 pm - 6:00 pm""}]",2
85,"[{""day"":""Sat"",""hour"":""10:00 AM-05:00 PM""}]",2
